UF,IBGE,COD_FAMILIAR,DT_HORA_ACAO,COD_MOTIVO,MOTIVO                                                                                           ,
SP,3543402,2530732,15/12/2025 05:25:52,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,114678863,15/12/2025 05:26:30,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,114678863,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,116572604,16/06/2025 00:33:37,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,138776903,13/09/2025 22:26:58,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,138776903,16/06/2025 00:34:22,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,138776903,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,181092417,11/10/2025 16:52:21,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,181092417,17/06/2023 11:27:57,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,181092417,16/06/2025 00:34:44,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,181092417,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,198970900,11/10/2025 16:52:26,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,198970900,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,203929152,13/09/2025 22:27:16,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,205460330,15/06/2025 21:48:55,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,251482901,13/09/2025 22:27:27,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,251482901,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,344350002,08/11/2025 16:25:14,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,344350002,11/10/2025 18:15:51,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,362192901,15/06/2025 21:50:13,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,379554976,16/06/2025 00:37:34,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,379554976,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,389958751,16/06/2025 00:37:34,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,389959561,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,396175309,12/07/2025 22:39:50,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,396175309,16/06/2025 00:37:55,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,404623409,12/07/2025 22:39:53,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,404623409,16/06/2025 02:39:16,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,436556103,16/06/2025 00:38:16,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,446915645,13/09/2025 22:28:16,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,446915645,15/06/2024 10:14:14,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,446915645,16/06/2025 02:18:56,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,446915645,13/07/2024 07:09:22,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,448230704,11/10/2025 16:53:33,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,448230704,14/09/2024 07:30:29,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,467831807,15/06/2025 21:51:03,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,467831807,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,483134325,16/06/2025 00:39:00,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,501111913,09/08/2025 16:37:48,1003,FAMILIA SEM RESPONSAVEL FAMILIAR                                      ,                       
SP,3543402,516707710,09/08/2025 16:37:52,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,516707710,17/06/2023 11:29:21,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,516707710,15/06/2024 11:55:23,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,516707710,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,517608944,15/06/2025 21:51:25,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,517608944,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,518024571,09/08/2025 16:37:52,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,518024571,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,527545880,12/07/2025 22:40:24,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,527545880,17/08/2024 08:08:52,1003,FAMILIA SEM RESPONSAVEL FAMILIAR                                      ,                       
SP,3543402,527545880,29/07/2024 18:48:40,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,562651900,11/10/2025 18:17:06,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,583975313,12/07/2025 22:40:39,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,583975313,15/06/2024 10:14:59,1003,FAMILIA SEM RESPONSAVEL FAMILIAR                                      ,                       
SP,3543402,583975313,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,595183166,11/10/2025 16:54:09,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,595183166,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,595183247,16/06/2025 00:40:25,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,632531436,09/08/2025 16:38:22,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,632531436,15/06/2025 21:52:16,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,632531436,16/06/2025 00:40:46,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,632531436,29/10/2024 22:16:28,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,651808952,29/07/2025 21:00:46,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,673797023,09/08/2025 16:38:32,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,673797023,17/06/2023 11:29:55,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,673797023,15/06/2024 11:55:36,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,673797023,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,673807002,11/10/2025 18:17:45,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,673807002,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,673813592,16/06/2025 00:41:07,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,732896800,08/11/2025 17:44:14,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,732896800,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,737031689,09/08/2025 16:38:48,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,738899542,15/12/2025 05:29:04,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,828505853,15/06/2025 21:53:32,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,828505853,16/06/2025 02:30:40,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
