"id","municipio","codigo_inep","escola","categoria","endereco","telefone","ativo","timestamp"
"452","Ribeirão Preto","35314559","ACALENTO ESCOLA E BERCARIO","Privada","PORTO ALEGRE, 146 RUA. SUMAREZINHO. 14051-310 Ribeirão Preto - SP.","(16) 30217051","1","2025-05-19 21:11:52"
"453","Ribeirão Preto","35101655","ADRIANA COUTINHO BRANDANI CAMILO DRA EMEI","Pública","RUA PROFESSOR ANTONIO PALOCCI, 1051 RUA. JARDIM OURO BRANCO. 14079-787 Ribeirão Preto - SP.","(16) 39696881","1","2025-05-19 21:11:52"
"454","Ribeirão Preto","35257059","ADRIANA PAULA BALE","Privada","RUA PASCHOAL BARDARO, 1206 JARDIM BOTANICO. 14021-655 Ribeirão Preto - SP.","(16) 36250838","1","2025-05-19 21:11:52"
"455","Ribeirão Preto","35167997","ADVANCE PLUS ESCOLA TECNICA","Privada","RUA CERQUEIRA CESAR, 747 RUA. CENTRO. 14010-130 Ribeirão Preto - SP.","(16) 36320202","1","2025-05-19 21:11:52"
"456","Ribeirão Preto","35115022","ADVENTISTA DE RIBEIRO PRETO COLEGIO","Privada","RUA ROMEU CEOLOTO, 300 RUA. CAMPOS ELISEOS. 14085-010 Ribeirão Preto - SP.","(16) 30243800","1","2025-05-19 21:11:52"
"457","Ribeirão Preto","35114844","AERP COLEGIO TECNOLOGICO ESCOLA DE EM","Privada","AVENIDA COSTABILE ROMANO, 2201 RIBEIRANIA. 14096-900 Ribeirão Preto - SP.","(16) 36036865","1","2025-05-19 21:11:52"
"458","Ribeirão Preto","35814416","AGNUS DEI ESCOLA DE EDUCACAO INFANTIL","Privada","AVENIDA MEIRA JUNIOR, 1377 AVENIDA. JARDIM MOSTEIRO. 14085-230 Ribeirão Preto - SP.","(16) 36245200","1","2025-05-19 21:11:52"
"459","Ribeirão Preto","35233365","ALAOR GALVAO CESAR CRECHE MUNICIPAL","Pública","PIO XII, 280 AVENIDA. VILA VIRGINIA. 14030-240 Ribeirão Preto - SP.","(16) 39141111","1","2025-05-19 21:11:52"
"460","Ribeirão Preto","35093385","ALBERT EINSTEIN EMEI","Pública","RUA FRANCISCO ALVES, 760 RUA. JARDIM INTERLAGOS. 14095-540 Ribeirão Preto - SP.","(16) 36292032","1","2025-05-19 21:11:52"
"461","Ribeirão Preto","35126354","ALBERT SABIN ESCOLA DE EDUCACAO INFANTIL E PG","Privada","AVENIDA LUIS EDUARDO DE TOLEDO PRADO, 2170 AVENIDA. VILA DO GOLF. 14027-250 Ribeirão Preto - SP.","(16) 36025250","1","2025-05-19 21:11:53"
"462","Ribeirão Preto","35118503","ALBERT SABIN ESCOLA DE ENSINO MEDIO","Privada","RUA JOSE CURVELO DA SILVEIRA JUNIOR, 110 RUA. JARDIM CALIFORNIA. 14026-240 Ribeirão Preto - SP.","(16) 36028200","1","2025-05-19 21:11:53"
"463","Ribeirão Preto","35048446","ALBERTO FERRIANI PROFESSOR","Pública","RUA FREDERICO GALLACHO, 100 RUA. ANTONIO MARINCEK. 14061-089 Ribeirão Preto - SP.","(16) 38781860","1","2025-05-19 21:11:53"
"464","Ribeirão Preto","35023978","ALBERTO JOSE GONCALVES DOM","Pública","RUA FLAVIO UCHOA, 916 RUA. CAMPOS ELISEOS. 14080-430 Ribeirão Preto - SP.","(16) 39612440","1","2025-05-19 21:11:53"
"465","Ribeirão Preto","35023851","ALBERTO SANTOS DUMONT","Pública","RUA SAO SALVADOR, 176 RUA. SUMAREZINHO. 14055-260 Ribeirão Preto - SP.","(16) 36303424","1","2025-05-19 21:11:53"
"466","Ribeirão Preto","35023930","ALCIDES CORREA PROFESSOR","Pública","RUA MOREIRA DE OLIVEIRA, 242 RUA. ALTO BOA VISTA. 14025-300 Ribeirão Preto - SP.","(16) 36231736","1","2025-05-19 21:11:53"
"467","Ribeirão Preto","35205539","ALCINA DOS SANTOS HECK EMEF","Pública","NUPORANGA, 717 RUA. JARDIM SALGADO FILHO. 14079-015 Ribeirão Preto - SP.","(16) 36261805","1","2025-05-19 21:11:53"
"468","Ribeirão Preto","35062893","ALFEU LUIZ GASPARINI PROFESSOR EMEF","Pública","AVENIDA DOM PEDRO I, 196 AVENIDA. IPIRANGA. 14055-630 Ribeirão Preto - SP.","(16) 36304187","1","2025-05-19 21:11:53"
